"","PID","Trial","Enc_or_Ret","CA1","CA3"
"213","20230601_DLT05",33,1,-0.540071859565181,-1.30148569478666
"214","20230601_DLT05",34,1,0.0379536849470217,0.0968151460864822
"215","20230601_DLT05",35,1,0.291997358349289,-0.0144890479282462
"216","20230601_DLT05",36,1,0.337238101299892,0.377205310709281
"217","20230601_DLT05",37,1,0.080981005831453,0.501621068670235
"218","20230601_DLT05",38,1,0.0325027968785454,-0.32614578956558
"219","20230601_DLT05",39,1,0.434055062071774,0.152771529741893
"220","20230601_DLT05",40,1,0.339202035672655,0.837375196451851
"221","20230601_DLT05",41,1,0.281188788915275,-0.0352211058611498
"222","20230601_DLT05",42,1,0.143771498115748,-0.643719195346676
"223","20230601_DLT05",43,1,0.302956847850105,-1.16986864687512
"224","20230601_DLT05",44,1,-0.0919928808718337,-0.289015664456733
"225","20230601_DLT05",45,1,-0.0087791607282339,-0.592473040517802
"226","20230601_DLT05",46,1,-0.377295175327687,0.0492341390881476
"227","20230601_DLT05",47,1,-0.340239106369871,-1.31055009221019
"228","20230601_DLT05",48,1,0.0404692272142681,-0.612279433654289
